Date	Open	High	Low	Close	Volume
4/6/21	544.81 	554.17 	543.30 	544.53 	3474205
4/5/21	540.01 	542.85 	529.23 	540.67 	3355904
4/1/21	529.93 	540.50 	527.03 	539.42 	3938637
3/31/21	515.68 	528.13 	515.44 	521.66 	3503111
3/30/21	510.51 	514.41 	506.91 	513.39 	2418129
3/29/21	505.66 	518 	504.40 	513.95 	3330049
3/26/21	502.82 	508.72 	496.68 	508.05 	3467797
3/25/21	516.99 	518.53 	497 	502.86 	4926764
3/24/21	533.78 	534.42 	520 	520.81 	4102211
3/23/21	529.87 	543.12 	529.40 	535.09 	5583461
3/22/21	509.13 	529.31 	509.13 	523.11 	3360587
3/19/21	504.96 	513.19 	501.63 	512.18 	4386360
3/18/21	516.40 	517.90 	503.85 	504.79 	4096606
3/17/21	522 	528.37 	514.30 	524.44 	2817376
3/16/21	524.47 	533.42 	523.21 	524.03 	3238888
3/15/21	516.32 	520.73 	508.03 	520.25 	3485519
3/12/21	512.50 	526.51 	506.59 	518.02 	3981743
3/11/21	512.21 	530.24 	510.71 	523.06 	4714469
3/10/21	513.50 	518.97 	504.25 	504.54 	3771484
3/9/21	507.31 	513.11 	503.82 	506.44 	3470042
3/8/21	514.46 	518.84 	492.85 	493.33 	3981758
3/5/21	511.98 	517.76 	498.79 	516.39 	5069973
3/4/21	521.50 	531.50 	507.68 	511.29 	5034792
3/3/21	545.93 	548.01 	517.81 	520.70 	5362443
3/2/21	553.34 	556.99 	546.02 	547.82 	3042226
3/1/21	545.57 	552.14 	542 	550.64 	3042180
2/26/21	546.51 	553.09 	538 	538.85 	3755574
2/25/21	550.27 	556.48 	535.75 	546.70 	4252879
2/24/21	539.80 	556.85 	539.07 	553.41 	3245038
2/23/21	525.00 	548.54 	518.28 	546.15 	4136532
2/22/21	534.99 	541.79 	530.79 	533.78 	3078594
2/19/21	548 	548.99 	538.81 	540.22 	2841457
2/18/21	549 	550 	538.23 	548.22 	2457604
2/17/21	550.99 	555.25 	543.03 	551.34 	2071590
2/16/21	557.29 	563.63 	552.73 	557.28 	2624097
2/12/21	556.94 	561.25 	550.85 	556.52 	2197128
2/11/21	564.44 	565.93 	554.22 	557.59 	2730587
2/10/21	562.50 	566.65 	553.46 	563.59 	3991264
2/9/21	546 	566 	543 	559.07 	3703499
2/8/21	555 	555 	543.70 	547.92 	2791721
2/5/21	552.26 	554.44 	545.48 	550.79 	2376175
2/4/21	539.81 	559.48 	537.51 	552.16 	5164537
2/3/21	550.17 	550.48 	538.24 	539.45 	3172288
2/2/21	542.01 	555.48 	538.94 	548.16 	3767569
2/1/21	536.79 	545.06 	531.73 	539.04 	3547507
1/29/21	538 	541 	530.18 	532.39 	4325264
1/28/21	535.88 	553.15 	530.74 	538.60 	5968978
1/27/21	550.71 	556.42 	515.73 	523.28 	8670277
1/26/21	554.73 	567.99 	554.06 	561.93 	5023847
1/25/21	567 	569.75 	548.65 	556.78 	7207329
1/22/21	582.10 	583.99 	564.35 	565.17 	7550822
1/21/21	582.45 	588.75 	570.40 	579.84 	11840630
1/20/21	565.42 	593.29 	556.86 	586.34 	32637450
1/19/21	501 	509.25 	493.54 	501.77 	12315810
1/15/21	500 	506.32 	495.10 	497.98 	5895788
1/14/21	507.35 	514.50 	499.58 	500.86 	4177357
1/13/21	495.50 	512.35 	493.01 	507.79 	5032099
1/12/21	500 	501.09 	485.67 	494.25 	5990425
1/11/21	507.84 	510.73 	497.95 	499.10 	3812720
1/8/21	511.31 	513.24 	504.51 	510.40 	2973949
1/7/21	508.28 	516.44 	506.42 	508.89 	3686448
1/6/21	511.97 	513.10 	499.50 	500.49 	5346210
1/5/21	521.55 	526.78 	515.89 	520.80 	3133872
1/4/21	539 	540.80 	515.09 	522.86 	4444407
12/31/20	525.53 	545.50 	523.15 	540.73 	5392322
12/30/20	530.13 	533.26 	523.69 	524.59 	1876286
12/29/20	519.90 	536.55 	515.48 	530.87 	4022358
12/28/20	516.43 	523.66 	507.13 	519.12 	2891867
12/24/20	515.12 	519.35 	512.21 	513.97 	1143952
12/23/20	524.76 	526.32 	514.20 	514.48 	2393187
12/22/20	527.69 	530.40 	520.50 	527.33 	1908529
12/21/20	530.05 	532.62 	521.15 	528.91 	3893964
12/18/20	533.20 	536.37 	526.02 	534.45 	4502692
12/17/20	529 	535.49 	526.44 	532.90 	3193377
12/16/20	520.11 	527.38 	517.69 	524.83 	3682392
12/15/20	518.50 	524.70 	513.56 	519.78 	3398209
12/14/20	505.44 	524.16 	501.18 	522.42 	5770424
12/11/20	495 	503.34 	494.85 	503.22 	3210928
12/10/20	494.56 	503.77 	492.91 	501.09 	3018203
12/9/20	510.53 	514.50 	491.29 	493.60 	4178768
12/8/20	517.90 	521.49 	505.55 	512.66 	4228950
12/7/20	500.01 	517.76 	497.77 	515.78 	4289293
12/4/20	497.50 	504.50 	493.64 	498.31 	3666243
12/3/20	502.99 	508.77 	496.04 	497.52 	2826116
12/2/20	501.62 	506.80 	493.50 	503.38 	3028358
12/1/20	492.34 	509.47 	491.98 	504.58 	5063234
11/30/20	490.08 	492.55 	481.27 	490.70 	3530940
11/27/20	486.58 	493.25 	481.85 	491.36 	2805762
11/25/20	485.13 	486.90 	478.92 	485 	3598629
11/24/20	478.84 	484.05 	475.89 	482.88 	3557894
11/23/20	490.46 	491.15 	475.84 	476.62 	5416571
11/20/20	485.22 	494.76 	481.57 	488.24 	4255924
11/19/20	482 	487.80 	480.47 	484.67 	2254653
11/18/20	481.95 	488.61 	477.72 	481.79 	3629237
11/17/20	480.12 	487.51 	478.85 	480.63 	3698082
11/16/20	480 	485.58 	477.30 	479.10 	3953563
11/13/20	486.77 	488.94 	477.80 	482.84 	3006510
11/12/20	491 	496.52 	480.43 	486.77 	5071155
11/11/20	483 	491.68 	478.26 	490.76 	5460532
11/10/20	470.95 	484.60 	463.41 	480.24 	8306142
11/9/20	485.54 	495.85 	467.26 	470.50 	10419680
11/6/20	515 	515.21 	502.51 	514.73 	4236349
11/5/20	506.56 	518.73 	503.45 	513.76 	5372781
11/4/20	495.36 	507.73 	493.98 	496.95 	5137330
11/3/20	484.93 	495.31 	478.76 	487.22 	3690213
11/2/20	478.87 	486.30 	475 	484.12 	4408193
10/30/20	502.01 	505.88 	472.21 	475.74 	7813897
10/29/20	488.50 	513.90 	479.34 	504.21 	11120690
10/28/20	486.36 	494 	483.28 	486.24 	5992731
10/27/20	490.01 	490.49 	482.93 	488.93 	3627175
10/26/20	487.03 	496.82 	478.90 	488.24 	6186087
10/23/20	488.11 	490.06 	481.35 	488.28 	4927862
10/22/20	494.69 	495.14 	482 	485.23 	6997922
10/21/20	501.03 	506.85 	488.25 	489.05 	17405710
10/20/20	528.14 	533.78 	522.26 	525.42 	10047180
10/19/20	537.07 	541.80 	525.38 	530.72 	7567506
10/16/20	549.50 	554.33 	530.03 	530.79 	6347363
10/15/20	545.52 	551.22 	535.10 	541.94 	5113126
10/14/20	562.61 	572.49 	541 	541.45 	9510081
10/13/20	540.56 	557.65 	537.20 	554.09 	5602498
10/12/20	548.81 	551.81 	538.24 	539.81 	5391074
10/9/20	537.83 	544.28 	535 	539.44 	4781259
10/8/20	533.48 	535 	524.15 	531.79 	5386488
10/7/20	518 	536.49 	515.82 	534.66 	7988683
10/6/20	518.72 	521.82 	504.16 	505.87 	4199034
10/5/20	506.80 	520.99 	501.70 	520.65 	4088069
10/2/20	516.43 	526.37 	502.70 	503.06 	6071165
10/1/20	506.03 	529.55 	503.60 	527.51 	8153710
9/30/20	492.57 	504.63 	489.27 	500.03 	4634111
9/29/20	489.50 	496.29 	486.53 	493.48 	3543193
9/28/20	489.11 	492 	477.88 	490.65 	4773497
9/25/20	474.39 	484.87 	468.03 	482.88 	3769436
9/24/20	470.53 	477 	467.82 	473.08 	3727201
9/23/20	491.04 	491.04 	469 	470.61 	3726423
9/22/20	489.01 	491.82 	479.26 	491.17 	3482324
9/21/20	467.69 	487.78 	466.32 	487.35 	5457539
9/18/20	472.51 	479.40 	458.60 	469.96 	6717711
9/17/20	475.16 	478.40 	463.27 	470.20 	5379301
9/16/20	499.99 	504.66 	483.31 	483.86 	4401412
9/15/20	484 	497.47 	481.63 	495.99 	5336992
9/14/20	480.62 	488.99 	471.30 	476.26 	7359126
9/11/20	486.49 	493.73 	476.81 	482.03 	5035200
9/10/20	503.35 	506.29 	478.84 	480.67 	6240181
9/9/20	519.21 	520 	492.57 	500.19 	6848127
9/8/20	498.40 	522 	495 	507.02 	5572684
9/4/20	520.18 	527.36 	485.98 	516.05 	8270118
9/3/20	545 	554 	521.32 	525.75 	9071089
9/2/20	553.78 	556.50 	537.37 	552.84 	5886930
9/1/20	532.60 	557.39 	532.45 	556.55 	9581907
8/31/20	521.16 	531.99 	517.58 	529.56 	4941409
8/28/20	532 	539 	522 	523.89 	4417517
8/27/20	537.78 	541 	521.25 	526.27 	9062912
8/26/20	492.50 	549.04 	492.08 	547.53 	20373680
8/25/20	488.19 	492.47 	485.09 	490.58 	5727721
8/24/20	495.44 	501 	483.16 	488.81 	4762183
8/21/20	496.46 	498.13 	490 	492.31 	3921293
8/20/20	484.69 	498.94 	483.89 	497.90 	5132480
8/19/20	493.93 	494.50 	483.50 	484.53 	3156218
8/18/20	484.35 	495.30 	482.80 	491.87 	3505518
8/17/20	484.19 	486.24 	479.10 	482.35 	2423545
8/14/20	482.82 	488.33 	480.21 	482.68 	2943487
8/13/20	478.40 	484.45 	476.45 	481.33 	3008933
8/12/20	471.34 	482.49 	470.18 	475.47 	5441243
8/11/20	479.75 	480.92 	466.55 	466.93 	7329226
8/10/20	493.35 	497.46 	478.63 	483.38 	4691185
8/7/20	505.45 	508.29 	486.68 	494.73 	5910348
8/6/20	504.11 	510.82 	498.70 	509.08 	3725861
8/5/20	508.68 	510.10 	501.20 	502.11 	4313526
8/4/20	498.65 	510.44 	498.65 	509.64 	5607968
8/3/20	490.86 	503.09 	490.23 	498.62 	5876190
7/31/20	488.29 	494.80 	484.50 	488.88 	5924310
7/30/20	480.71 	488.35 	477.51 	485.80 	6608569
7/29/20	492.25 	494.92 	484.13 	484.48 	6611769
7/28/20	496.02 	497.79 	487.76 	488.51 	5986727
7/27/20	484.51 	496.92 	482.31 	495.65 	7863069
7/24/20	468.77 	487.17 	467.54 	480.45 	7746247
7/23/20	491.13 	491.90 	472.02 	477.58 	7722034
7/22/20	492.19 	497.20 	487.20 	489.82 	6954078
7/21/20	506 	506.22 	488.61 	490.10 	9127218
7/20/20	489.14 	504.50 	484.20 	502.41 	11940310
7/17/20	494.87 	503.59 	484.14 	492.99 	24991350
7/16/20	526.48 	535.54 	504.36 	527.39 	24498990
7/15/20	516.30 	529 	510.18 	523.26 	10066650
7/14/20	517.08 	525.50 	490.49 	524.88 	15083300
7/13/20	567.98 	575.37 	520.96 	525.50 	18399020
7/10/20	519.73 	555.88 	511.28 	548.73 	21605590
7/9/20	508.40 	510 	495.78 	507.76 	5840541
7/8/20	498.58 	505.10 	493.81 	502.78 	5691682
7/7/20	497.31 	504.82 	490.83 	493.16 	5669870
7/6/20	480.77 	499.50 	479.80 	493.81 	7838990
7/2/20	485.64 	492.28 	475.53 	476.89 	6351485
7/1/20	454 	488.23 	454 	485.64 	9705870
6/30/20	450.02 	457.59 	447 	455.04 	4198545
6/29/20	445.23 	447.67 	432.14 	447.24 	4843978
6/26/20	466.39 	468.03 	442.24 	443.40 	6804726
6/25/20	458.86 	467.01 	454 	465.91 	4134513
6/24/20	468.54 	472.36 	454 	457.85 	4826191
6/23/20	466.50 	474.01 	464.50 	466.26 	5948436
6/22/20	455.01 	468.59 	454.21 	468.04 	6272105
6/19/20	449.12 	453.97 	445.60 	453.72 	5933651
6/18/20	448.73 	452.76 	442.80 	449.87 	4277627
6/17/20	441.82 	450.46 	439.22 	447.77 	6529568
6/16/20	425.76 	437.96 	425.18 	436.13 	5514016
6/15/20	421.40 	426.49 	415.42 	425.50 	4471499
6/12/20	429 	434.06 	412.45 	418.07 	6461127
6/11/20	428.20 	445.57 	424.16 	425.56 	7462868
6/10/20	436 	439.69 	430.55 	434.48 	4896893
6/9/20	421.65 	434.73 	420.31 	434.05 	6796999
6/8/20	416 	420.80 	406.50 	419.49 	5851453
6/5/20	407.29 	420.24 	404.25 	419.60 	5099561
6/4/20	422.39 	428.71 	410.03 	414.33 	5410529
6/3/20	426.95 	427.10 	418.05 	421.97 	4316044
6/2/20	425.87 	427.59 	419.46 	427.31 	3494801
6/1/20	418.83 	426.72 	415.98 	425.92 	3748573
5/29/20	417.46 	420.30 	411.85 	419.73 	5270484
5/28/20	417.24 	422.37 	411.50 	413.44 	5660160
5/27/20	410.38 	420.02 	397.86 	419.89 	10446340
5/26/20	427.77 	428.50 	413.14 	414.77 	7881115
5/22/20	437 	439.09 	427.18 	429.32 	5422334
5/21/20	448.56 	448.96 	430.25 	436.25 	9117325
5/20/20	454.25 	455.81 	444 	447.67 	5607257
5/19/20	453.40 	458.97 	450.47 	451.04 	4810487
5/18/20	451.16 	456.36 	443.35 	452.58 	7780309
5/15/20	440.70 	455 	437.51 	454.19 	7243998
5/14/20	444.90 	452.38 	432.82 	441.95 	9007467
5/13/20	435.69 	447 	427.27 	438.27 	7014563
5/12/20	442 	444.17 	431.36 	431.82 	4598211
5/11/20	436.33 	444.89 	435.56 	440.52 	5486037
5/8/20	434.14 	442 	433.64 	435.55 	5054308
5/7/20	436.89 	438.88 	430.66 	436.53 	5650281
5/6/20	429.30 	439.77 	426.39 	434.26 	6660737
5/5/20	427.56 	431 	421.56 	424.68 	6286293
5/4/20	417.78 	428.54 	414.87 	428.15 	7799058
5/1/20	415.10 	427.97 	411.73 	415.27 	8299858
4/30/20	410.31 	424.44 	408 	419.85 	7953975
4/29/20	399.53 	415.86 	393.60 	411.89 	9693137
4/28/20	419.99 	421 	402.91 	403.83 	10101230
4/27/20	425 	429 	420.84 	421.38 	6277480
4/24/20	425 	427.17 	415.88 	424.99 	8670362
4/23/20	419.26 	438.41 	419.26 	426.70 	13952330
